emp_no,first_name,last_name,title,from_date,to_date,birth_date
297954,Sailaja,Fujisaki,Assistant Engineer,1995-07-24,9999-01-01,1965-01-13
481397,Luisa,Chelton,Assistant Engineer,1998-08-13,9999-01-01,1965-01-31
472052,Godehard,Chinal,Assistant Engineer,1995-12-09,9999-01-01,1965-01-26
253838,Stafford,Terlouw,Assistant Engineer,1999-02-21,9999-01-01,1965-01-28
92577,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,9999-01-01,1965-01-06
295262,Moon,Pews,Assistant Engineer,1994-08-06,9999-01-01,1965-01-22
207551,Baziley,Falck,Assistant Engineer,1995-02-18,9999-01-01,1965-01-15
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01,1965-01-23
248953,Percy,Sudbeck,Assistant Engineer,1996-08-29,9999-01-01,1965-01-29
272860,Minghong,Candan,Assistant Engineer,1994-02-10,9999-01-01,1965-02-01
230287,Renny,Alameldin,Assistant Engineer,1997-09-28,9999-01-01,1965-01-14
483838,Sham,Kavanagh,Assistant Engineer,1997-12-18,9999-01-01,1965-01-03
489928,Satoru,Janetzko,Assistant Engineer,1997-07-26,9999-01-01,1965-01-28
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01,1965-01-30
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01,1965-01-16
92598,Ranga,Merro,Assistant Engineer,1996-05-11,9999-01-01,1965-01-18
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01,1965-01-31
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01,1965-01-28
239706,Arunas,Bugrara,Assistant Engineer,1997-04-03,9999-01-01,1965-01-15
415187,Juyoung,Peltason,Assistant Engineer,1998-09-01,9999-01-01,1965-01-03
297905,Marc,Bahl,Assistant Engineer,1997-06-18,9999-01-01,1965-01-12
415338,Shigeo,Emmart,Assistant Engineer,1995-12-24,9999-01-01,1965-01-22
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,9999-01-01,1965-01-16
294791,Vesna,Lammel,Assistant Engineer,1999-10-08,9999-01-01,1965-01-28
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01,1965-01-23
231459,Nectarios,Pramanik,Assistant Engineer,1999-11-18,9999-01-01,1965-01-28
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01,1965-01-22
281570,Zijian,Covnot,Assistant Engineer,1994-09-13,9999-01-01,1965-01-08
222616,Badri,Schapire,Assistant Engineer,1998-01-19,9999-01-01,1965-02-01
424569,Danco,Luff,Engineer,1997-10-30,9999-01-01,1965-01-14
400780,Poornachandra,Asser,Engineer,1993-11-07,9999-01-01,1965-01-09
90614,Yonghoan,Trogemann,Engineer,1997-09-23,9999-01-01,1965-01-29
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,1965-01-16
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,1965-01-21
214427,Peer,Molberg,Engineer,1996-11-17,9999-01-01,1965-01-29
214539,Ingmar,Kohling,Engineer,1995-04-25,9999-01-01,1965-01-27
400796,Bodo,Halevi,Engineer,1996-05-30,9999-01-01,1965-01-10
84508,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01,1965-01-17
424984,Vasilis,Waleschkowski,Engineer,1996-05-26,9999-01-01,1965-01-11
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,9999-01-01,1965-01-12
